"average_salary","skills"
"400000.00","svn"
"179000.00","solidity"
"160515.00","couchbase"
"155485.50","datarobot"
"155000.00","golang"
"149000.00","mxnet"
"147633.33","dplyr"
"147500.00","vmware"
"146733.83","terraform"
"138500.00","twilio"
"134126.00","gitlab"
"129999.16","kafka"
"129820.00","puppet"
"127013.33","keras"
"125226.20","pytorch"
"124685.75","perl"
"124370.00","ansible"
"123950.00","hugging face"
"120646.83","tensorflow"
"118406.68","cassandra"
"118091.67","notion"
"117965.60","atlassian"
"116711.75","bitbucket"
"116387.26","airflow"
"115479.53","scala"
"114883.20","linux"
"114153.12","confluence"
"114057.87","pyspark"
"113607.71","mongodb"
"113393.90","aurora"
"113269.50","cordova"
"113065.48","gcp"
"113001.94","spark"
"112927.60","splunk"
"112880.74","databricks"
"112317.44","unify"
"112249.64","git"
"111840.00","dynamodb"
"111577.72","snowflake"
"111496.45","shell"
"111175.00","electron"
"111123.32","unix"
"110888.27","hadoop"
"110767.07","pandas"
"110230.38","node.js"
"109259.09","phoenix"
"109051.51","php"
"108646.42","neo4j"
"108331.04","nosql"
"108221.35","express"
"108103.00","watson"
"107968.80","redshift"
"107931.30","jira"
"107925.00","rust"
"107815.75","elasticsearch"
"107405.33","no-sql"
"107397.56","numpy"
"107130.29","db2"
"107100.00","swift"
"107043.75","redis"
"106852.94","postgresql"
"106602.86","plotly"
"106439.84","aws"
"105695.51","c++"
"105579.57","alteryx"
"105399.62","azure"
"105328.92","gdpr"
"105237.60","bigquery"
"105074.72","bash"
"105040.78","powershell"
"104274.25","mongo"
"103932.15","scikit-learn"
"103855.35","looker"
"103522.46","jupyter"
"103312.50","ibm cloud"
"103088.79","kubernetes"
"102103.25","angular"
"101862.69","flask"
"101666.67","asp.net"
"101625.00","sqlite"
"101511.85","python"
"101498.36","github"
"101418.62","jenkins"
"101381.40","mysql"
"101035.82","visio"
"100964.19","oracle"
"100932.78","qlik"
"100213.87","java"
"100000.00","chainer"
"100000.00","theano"
"99908.55","matlab"
"99616.70","unity"
"99548.74","dax"
"99415.75","ggplot2"
"99307.10","matplotlib"
"99261.57","docker"
"99150.00","yarn"
"98747.83","seaborn"
"98714.56","c"
"98707.80","r"
"98543.69","django"
"98019.82","flow"
"97978.08","tableau"
"97900.00","node"
"97453.61","spring"
"97266.97","go"
"97247.74","c#"
"97234.75","ssis"
"96435.33","sql"
"96191.42","sql server"
"96000.00","mariadb"
"95772.00","jquery"
"95722.65","t-sql"
"94485.56","microstrategy"
"93844.97","vba"
"93707.36","sas"
"92500.00","webex"
"92446.21","sap"
"92323.60","power bi"
"92000.00","pascal"
"91805.12","javascript"
"91536.86","ssrs"
"90407.22","cognos"
"90006.25","airtable"
"90000.00","clickup"
"89791.42","zoom"
"89323.10","typescript"
"89112.50","unreal"
"89027.16","sharepoint"
"88567.19","react"
"88328.20","drupal"
"88315.61","powerpoint"
"87500.00","firebase"
"87327.33","crystal"
"86972.33","visual basic"
"86835.00","arch"
"86512.83","windows"
"86418.90","excel"
"86266.67","symphony"
"85570.03","microsoft teams"
"85389.70","assembly"
"85338.70","asana"
"85317.07","css"
"85292.80","spss"
"84872.71","ms access"
"84744.75","cobol"
"84382.71","html"
"84129.61","sheets"
"83567.30","terminal"
"83441.95","slack"
"82940.76","word"
"82825.00","chef"
"82500.00","selenium"
"82500.00","fortran"
"80960.17","ruby"
"80680.33","outlook"
"79000.00","monday.com"
"78465.89","spreadsheet"
"77039.12","planner"
"76820.04","workfront"
"75000.00","wrike"
"73680.00","julia"
"73418.75","npm"
"72673.83","dart"
"72500.00","erlang"
"71221.46","smartsheet"
"70599.93","tidyverse"
"69600.00","vb.net"
"68375.00","wire"
"67818.00","opencv"
"67698.50","sass"
"67500.00","colocation"
"65193.46","trello"
"65000.00","vue"
"57933.18","macos"
"57009.33","graphql"
"51059.00","ruby on rails"
